Ad asset report
All time
Asset status,Asset,Asset type,Campaign,Ad group,Level,Status,Status reason,Added by,Last updated,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Clicks
Enabled,086699 82255,Call,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"Feb 9, 2023, 3:22 PM","33,153","3,201",9.66%,INR,38.73,123961.61,"3,201"
Enabled,https://tpc.googlesyndication.com/simgad/9917291591276276878,Image,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"Mar 21, 2025, 1:20 PM","1,740",25,1.44%,INR,28.34,708.52,25
Enabled,"Services
Learn More About The
Services We Offer.
https://business.google.com/v/gulmohor-banquet-hall-abhiruchi-mall/01568347538920253536/39ba/_?{ignore}caid={campaignid}&agid={adgroupid}&gclid={gclid}#services",Sitelink,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"May 20, 2025, 12:15 PM","7,825",774,9.89%,INR,14.10,10916.41,774
Enabled,https://tpc.googlesyndication.com/simgad/6737982721442763786,Business logo,GULMOHOR | SEARCH, --,Campaign,Eligible,,Advertiser,"Mar 21, 2025, 1:08 PM","26,320","2,054",7.80%,INR,23.82,48928.32,"2,054"
Enabled,"Hall Photos & Gallery
View hall interiors
Discover event setups
https://gulmohorbanquethallpune.com/",Sitelink,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 11:45 AM",0,0, --,INR,0,0.00,0
Enabled,https://tpc.googlesyndication.com/simgad/6737982721442763786,Business logo,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 11:45 AM",0,0, --,INR,0,0.00,0
Enabled,"Check Availability
Confirm your event date
Quick booking support
https://gulmohorbanquethallpune.com/",Sitelink,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 12:53 PM",0,0, --,INR,0,0.00,0
Enabled,https://tpc.googlesyndication.com/simgad/12192638183421554494,Image,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 11:45 AM","1,795",430,23.96%,INR,1.22,525.14,430
Enabled,Prime Pune Location,Callout,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 11:45 AM",0,0, --,INR,0,0.00,0
Enabled,"About Us
https://gulmohorbanquethallpune.com/",Sitelink,Performance Max I GBH Feb-25, --,Campaign,Eligible,,Advertiser,"Feb 9, 2025, 8:08 PM","2,752",92,3.34%,INR,2.67,245.65,92
Enabled,"Services
Learn More About The
Services We Offer.
https://business.google.com/v/gulmohor-banquet-hall-abhiruchi-mall/01568347538920253536/39ba/_?{ignore}caid={campaignid}&agid={adgroupid}&gclid={gclid}#services",Sitelink, --, --,Account,Eligible,,Advertiser,"Sep 29, 2023, 10:35 AM","39,580","6,581",16.63%,INR,2.68,17652.84,"6,581"
Enabled,https://tpc.googlesyndication.com/simgad/6737982721442763786,Business logo, --, --,Account,Eligible,,Advertiser,"Mar 12, 2025, 1:18 PM","52,569","3,888",7.40%,INR,13.24,51473.73,"3,888"
Enabled,https://tpc.googlesyndication.com/simgad/14505190192455396962,Image,Search campaign| wedding | Munj| Dec-25, --,Campaign,Eligible,,Advertiser,"Dec 9, 2025, 11:45 AM","3,648",814,22.31%,INR,1.09,886.75,814
